Name,Ingredients
ซอส basil,"หอย 1 ป๋อง \n อิ๊วขาว 1 ขวด \n แม็คกี้ 370 กรัม \n น้ำตาล 325 กรัม \n อิ๊วดำ 460 กรัม \n ชูรส 270 กรัม \n น้ำปลา 415 กรัม"
ซอสผัด,"หอย 1 ป๋อง \n ฝาเขียว 1 ขวด \n ฝาขาว 1 ขวด \n น้ำตาล 1500 กรัม"
ซอสข้าวผัด,"อิ๊วขาว 2 ขวด \n แม็กกี้ 2 ขวด \n น้ำตาล 1400 กรัม \n ชูรส 180 กรัม"
แป้งทอด,"แป้ง 3 \n โกกิ 2 เล็ก 7 \n ผงไก่ 3 ชต. \n พริกไทย 1 ชต."
bbq,"ซอสผัด 800 ml \n มะเขือเทศ 1 ลิตร \n น้ำตาล 400 ml \n ซอสพริก 10 ทัพพี \n พริกไทย 2 ชต."
sesame,"ซอสผัด 1600 ml \n น้ำตาล 300 ml \n น้ำมันงา 100 ml \n งา 8 ชต."
paper,"ซอสผัด 1600 ml \n น้ำตาล 300 ml \n น้ำเปล่า 100 ml \n กระเทียบสับ 20 ชต. \n พริกไทยดำ 5ครึ่ง ชต. \n ผงพริกไทย 2 ชต. \n แม็กกี้ 100 ml"
ไก่กะทะ,"ซอสผัด 1600 ml \n ตะไคร้ปั่น 20 ชต. \n น้ำตาล 300 ml \n พริกไทย 1 ชต. \n อิ๊วดำ เอาสี"
stay,"หอย GF 100 ml \n อิ๊วขาว GF 100 ml \n น้ำตาล 6ครึ่ง ชต. \n ขมิ้น 3 ชต. \n kumin 1ครึ่ง ชต. \n ใบมะกรูดซอย 10 ใบ \n กะทิ 1 ป๋อง "
ไก่ตะไคร้,"หอย GF 300 ml \n ฝาขาว 50 ml \n ฝาเขียว 50 ml \n น้ำตาล 350 ml \n ผงไก่ 2ครึ่ง ชต. \n ตะไคร้ปั่น 1/4 ถุง \n รากผักชี 4 ราก \n กระเทียมปั่น 1/4 ถุง \n น้ำมันพืช 1 กระบวยผัด"
แกงred,"แกงแดง(1kg) 2 ป๋อง \n กะทิ 24 กระป๋อง \n น้ำปลา 600 ml \n ตะไคร้+ใบมะกรูด \n ปาริก้า 5ครึ่ง \n น้ำตาลปิ๊ป 500g 3 ก้อน"
แกงgreen,"แกงเขียว(1kg) 2 ป๋อง \n กะทิ 24 ป๋อง \n น้ำปลา 600 ml \n กระชาย+ใบมะกรูด \n ขมิ้น 5ครึ่ง ชต. \n น้ำตาลปิ๊ป 500g 3 ก้อน"
